species	time_lag	first_observed	griis_first_observed
Echis carinatus			2017
Echium pininana		2020	
Echium plantagineum		2011	
Eclectus roratus	0	2010	2010
Eclipta prostrata		2020	
Ectobius vittiventris		2021	
Ectopsocus briggsi			2018
Ectopsocus petersi			2018
Edwardsiana candidula		2015	
Edwardsiana platanicola		2018	
Egeria densa		2009	
Egretta novaehollandiae		2015	
Eichhornia crassipes		2008	
Elaeagnus angustifolia		2006	
Elaeagnus macrophylla			2013
Elaeagnus multiflora		2012	
Elaeagnus pungens	0	2012	2012
Elaeagnus umbellata		2006	
Elaphe quatuorlineata			2012
Elaphe sauromates			2014
Elaphe schrenckii			2019
Elaphe taeniura		2006	
Eleocharis engelmannii	0	2014	2014
Eleocharis mamillata		2006	
Eleocharis obtusa		2009	
Eleusine indica		2006	
Eleusine tristachya		2009	
Ellisiophyllum pinnatum			2016
Elymus canadensis		2014	
Empicoris rubromaculatus		2015	
Emys orbicularis			2010
Eobania vermiculata		2014	
Eolophus roseicapilla		2016	
Eophona migratoria		2013	
Ephedra intermedia		2006	
Epilobium brachycarpum	0	2012	2012
Epimedium alpinum		2009	
Epimedium pinnatum	0	2012	2012
Epiphyas postvittana		2014	
Eptesicus fuscus		2015	
Epuraea imperialis	3	2015	2012
Equisetum hyemale		2007	
Equisetum scirpoides		2009	
Eragrostis cilianensis		2007	
Eragrostis curvula		2008	
Eragrostis mexicana		2006	
Eragrostis pectinacea		2012	
Eragrostis pilosa		2006	
Eragrostis tef		2011	
Erica carnea		2011	
Erica darleyensis			2016
Erigeron annuus		2014	
Erigeron bonariensis		2006	
Erigeron daveauanus		2018	
Erigeron floribundus		2006	
Erigeron muralis		2013	
Erigeron speciosus		2017	
Erigone dentosa			2012
Erinus alpinus		2008	
Eriocapitella tomentosa		2019	
Eriochloa villosa			2016
Erodium malacoides		2008	
Erodium stephanianum		2012	
Erodium trifolium	0	2017	2017
Eruca vesicaria		2006	
Eryngium bourgatii	0	2013	2013
Eryngium planum		2006	
Erysimum bicolor		2021	
Erysimum repandum		2010	
Erythranthe cuprea		2016	
Erythranthe lutea		2015	
Erythranthe moschata		2015	
Erythronium dens-canis		2019	
Eublepharis macularius	9	2021	2012
Euborellia annulipes			2016
Euclidium syriacum		2011	
Eudianthe coeli-rosa		2013	
Eudocimus ruber	0	2015	2015
Eumodicogryllus bordigalensis	0	2018	2018
Euodice malabarica	0	2013	2013
Euonymus alatus	4	2015	2011
Euonymus fortunei		2007	
Euonymus japonicus	0	2010	2010
Euonymus latifolius		2011	
Eupholidoptera chabrieri	0	2019	2019
Euphorbia amygdaloides		2015	
Euphorbia characias		2007	
Euphorbia epithymoides		2013	
Euphorbia esula		2009	
Euphorbia falcata		2017	
Euphorbia heterophylla		2018	
Euphorbia humifusa		2017	
Euphorbia maculata		2008	
Euphorbia myrsinites		2009	
Euphorbia oblongata		2008	
Euphorbia palustris		2007	
Euphorbia prostrata		2006	
Euphorbia serpens		2008	
Euphorbia vermiculata		2008	
Euplectes macroura			2010
Euplectes progne		2020	
Eurybia divaricata		2011	
Euscorpius flavicaudis		2011	
Euscorpius italicus		2020	
Eutrochium maculatum		2013	
Exaireta spinigera		2016	
Fagopyrum tataricum		2007	
Fagus orientalis		2014	
Fagus sylvatica		2012	
Fatshedera lizei		2016	
Fatsia japonica		2008	
Favolaschia calocera			2018
Felis catus			2018
Fenestrulina delicia		2009	
Filago congesta	0	2019	2019
Filipendula palmata		2014	
Flaveria trinervia		2011	
Forsythia suspensa		2008	
Frankenia pulverulenta		2022	
Frankliniella fusca		2019	
Frankliniella occidentalis			2018
Fraxinus americana		2016	
Fraxinus angustifolia		2011	
Fraxinus latifolia		2009	
Fraxinus ornus		2006	
Fraxinus pennsylvanica		2008	
Fritillaria imperialis	-4	2015	2019
Fumaria bastardii	0	2017	2017
Fumaria muralis		2006	
Furcifer pardalis			2015
Gafrarium pectinatum		2021	
Galanthus elwesii		2009	
Galanthus nivalis		2013	
Galanthus plicatus	0	2017	2017
Galanthus woronowii	-5	2010	2015
Galeopsis pubescens		2014	
Galium murale		2014	
Galium parisiense		2009	
Galium verrucosum		2021	
Galium verum		2011	
Gammarus roeselii		2012	
Gammarus tigrinus		2011	
Gamochaeta antillanum		2020	
Gamochaeta coarctata		2021	
Gamochaeta pensylvanica		2007	
Gaudinia fragilis		2014	
Gaultheria procumbens		2010	
Gaultheria shallon		2018	
Gekko gecko			2010
Gentiana lutea		2011	
Geranium carolinianum		2013	
Geranium divaricatum		2011	
Geranium macrorrhizum		2007	
Geranium nodosum		2009	
Geranium oxonianum		2007	
Geranium psilostemon	0	2013	2013
Geranium renardii		2021	
Geranium sanguineum		2020	
Geranium versicolor		2020	
Geranium wallichianum	0	2019	2019
Geranoaetus melanoleucus		2017	
Geum ternatum		2010	
Gilia achilleifolia		2013	
Gilia capitata		2014	
Gilia tricolor		2013	
Ginkgo biloba			2011
Girardia tigrina		2008	
Gladiolus hortulanus		2009	
Gladiolus italicus	0	2012	2012
Glandora diffusa		2020	
Glandularia aristigera		2014	
Glaucium corniculatum		2011	
Glaucium grandiflorum	0	2016	2016
Glebionis coronaria		2009	
Glechoma hederacea		2014	
Gleditsia triacanthos		2009	
Glyceria canadensis		2014	
Glycine max		2006	
Gobiosoma bosc			2018
Gomphocarpus fruticosus	0	2017	2017
Gonionemus vertens		2014	
Gracilaria vermiculophylla		2013	
Gracupica nigricollis		2019	
Grandidierella japonica			2019
Graphocephala fennahi			2018
Graptemys geographica			2010
Graptemys ouachitensis	-7	2011	2018
Graptemys pseudogeographica	-4	2006	2010
Graptostethus servus		2021	
Grindelia squarrosa		2007	
Grus japonensis		2007	
Grus vipio	0	2011	2011
Gryllodes sigillatus	-5	2013	2018
Gryllomorpha dalmatina	3	2021	2018
Gryllus bimaculatus	-1	2017	2018
Guizotia scabra		2015	
Guizotia schimperi			2015
Gunnera tinctoria		2018	
Gutenbergia rueppellii	0	2013	2013
Gymnorhina tibicen		2018	
Gypsophila elegans		2010	
Gypsophila repens		2013	
Gyrodactylus proterorhini			2011
Halesia carolina		2019	
Haliaeetus leucocephalus	0	2013	2013
Haliaeetus pelagicus		2009	
Haliaeetus vocifer		2018	
Halimium lasianthum		2012	
Halyomorpha halys	0	2017	2017
Hanseniella caldaria			2018
